date,close,open,high,low
2014-01-21,104.32,104.18,104.76,104.01
2014-01-22,104.52,104.28,104.58,103.95
2014-01-23,103.27,104.50,104.84,102.95
2014-01-24,102.30,103.24,103.59,101.98
2014-01-27,102.55,102.37,102.94,101.77
2014-01-28,102.97,102.54,103.27,102.46
2014-01-29,102.30,102.94,103.46,101.83
2014-01-30,102.72,102.28,102.92,102.04
2014-01-31,102.03,102.71,102.94,101.94
2014-02-03,100.99,102.02,102.42,100.76
2014-02-04,101.65,100.98,101.68,100.74
2014-02-05,101.44,101.64,101.77,100.77
2014-02-06,102.11,101.43,102.19,101.21
2014-02-07,102.34,102.08,102.58,101.41
2014-02-10,102.25,102.28,102.66,101.97
2014-02-11,102.64,102.24,102.70,102.05
2014-02-12,102.53,102.62,102.69,102.20
2014-02-13,102.17,102.52,102.59,101.68
2014-02-14,101.80,102.18,102.43,101.55
2014-02-17,101.94,101.80,102.00,101.37
2014-02-18,102.37,101.93,102.75,101.78
2014-02-19,102.33,102.34,102.47,101.83
2014-02-20,102.27,102.29,102.42,101.65
2014-02-21,102.53,102.27,102.83,102.24
2014-02-24,102.50,102.53,102.70,102.14
2014-02-25,102.23,102.50,102.64,101.98
2014-02-26,102.38,102.23,102.64,102.07
2014-02-27,102.13,102.36,102.46,101.70
2014-02-28,101.81,102.12,102.28,101.53
2014-03-03,101.45,101.54,101.67,101.17
2014-03-04,102.21,101.44,102.29,101.37
2014-03-05,102.31,102.20,102.56,102.08
2014-03-06,103.07,102.29,103.17,102.24
2014-03-07,103.28,103.05,103.78,102.81
2014-03-10,103.27,102.97,103.42,102.78
2014-03-11,103.02,103.24,103.44,102.83
2014-03-12,102.77,103.00,103.11,102.53
2014-03-13,101.84,102.74,102.87,101.52
2014-03-14,101.36,101.83,101.89,101.18
2014-03-17,101.77,101.32,101.88,101.23
2014-03-18,101.44,101.75,101.97,101.25
2014-03-19,102.34,101.41,102.69,101.27
2014-03-20,102.40,102.30,102.56,102.17
2014-03-21,102.27,102.38,102.48,101.99
2014-03-24,102.25,102.23,102.66,102.09
2014-03-25,102.27,102.22,102.48,102.08
2014-03-26,102.05,102.23,102.47,101.85
2014-03-27,102.17,102.06,102.44,101.71
2014-03-28,102.81,102.17,103.00,102.01
2014-03-31,103.22,102.82,103.45,102.75
2014-04-01,103.64,103.19,103.72,103.06
2014-04-02,103.88,103.63,103.95,103.56
2014-04-03,103.92,103.87,104.12,103.78
2014-04-04,103.28,103.90,104.12,103.17
2014-04-07,103.11,103.29,103.42,102.97
2014-04-08,101.81,103.09,103.14,101.52
2014-04-09,101.98,101.78,102.17,101.70
2014-04-10,101.53,101.96,102.16,101.31
2014-04-11,101.61,101.51,101.89,101.31
2014-04-14,101.84,101.55,102.03,101.39
2014-04-15,101.93,101.82,102.01,101.47
2014-04-16,102.23,101.91,102.38,101.77
2014-04-17,102.39,102.22,102.47,101.85
2014-04-18,102.42,102.37,102.59,102.34
2014-04-21,102.62,102.48,102.71,102.36
2014-04-22,102.62,102.60,102.74,102.38
2014-04-23,102.54,102.61,102.70,102.15
2014-04-24,102.32,102.53,102.66,102.07
2014-04-25,102.17,102.29,102.52,101.94
2014-04-28,102.50,102.15,102.64,102.02
